additional heating costs;Heiznebenkosten;HeatExtraCosts
extra costs;Nebenkosten;ExtraCosts
rent;Miete;- 
waste;Müll;-
heating;Heizung;-
sewage;Abwasser;-
payment;Zahlung;-
payments;Zahlungen;-
cleaning;Reinigung;-
property tax;Grundsteuer;propertyTax
building insuance;Gebäudeversicherung;buildingInsurance
garage rent;Garagenmiete;garagerent
costs;Kosten;-
divider;Teiler;-
proportion;Anteil;-
whole;Gesamt;-
calculation;Berechnung;-
result;Resultat;-
annual statement;Jahresabrechnung;annualStatement
summed annual statement;Summierte Jahresabrechnung;summedAnnualStatement
total;Endsumme;-
advance;Vorauszahlung;-
persons;Personen;-
area;Fläche;-
counter;Zähler;-
proportional costs;Anteilige Kosten;-
width;Breite;-
length;Länge;-
-;Preis pro Quadratmeter;sumPerArea
monthly rent;Monatsmiete;-
annual rent;Jahressmiete;-
signature;Unterschrift;-
signature landlord;Unterschrift Vermieter;-
signature tenant;Unterschrift Mieter;-
date;Datum;-
deduction;Abschlag;-
